,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL
16897,3:15,6BLTE,9.8585,9.4081,5.6987,0.6382,59.5722,47.1042,1.1488,0.0101,5,4,9
6321,20:30,4BLTE,19.907,1.516,0.339,0.061,12.682,0.605,1.293,1.091,7,4,11
1413,0:00,3ALTE,8.589,1.213,0.33,0.029,18.419,0.908,1.071,1.051,3,3,6
26310,8:45,6VLTE,1.011,2.425,0.265,0.03,11.614,0.532,1.112,0.01,4,2,6
22136,18:00,8BLTE,14.955,1.718,0.361,0.071,14.206,1.763,1.243,1.061,5,4,9
13802,2:00,7ALTE,0.0,0.404,0.012,0.005,0.119,0.021,1.011,0.01,2,1,3
15141,10:45,4ALTE,1.5444,0.7323,0.7117,0.0224,54.4838,0.9182,1.1057,1.0148,2,3,5
22289,4:45,7BLTE,0.1058,0.4066,0.016,0.0063,1.134,0.2066,1.0727,0.0107,3,3,6
16693,22:45,7VLTE,1.112,3.739,0.653,0.044,16.407,0.601,1.192,0.01,4,3,7
19712,16:00,7VLTE,1.3402,8.7312,2.7566,0.0694,20.2647,0.6554,1.158,0.01,5,2,7
10653,15:15,6VLTE,2.526,6.063,1.542,0.103,27.831,1.095,1.394,0.01,7,4,11
32739,7:15,6ALTE,2.627,0.505,0.072,0.023,5.764,0.547,1.031,0.01,3,2,5
10888,18:45,9ALTE,5.053,0.707,0.133,0.054,3.221,3.856,1.071,1.061,4,3,7
33997,15:30,5ALTE,10.307,0.909,0.208,0.034,13.668,0.486,1.101,1.041,5,3,8
25283,11:00,10ALTE,25.263,3.335,0.9,0.126,27.275,1.397,1.455,1.213,7,5,12
9145,7:15,4CLTE,5.76,0.707,0.208,0.029,6.463,0.511,1.061,1.041,3,3,6
29741,11:00,8ALTE,13.0704,1.5912,0.6187,0.0718,11.9332,0.6724,1.3327,1.1026,5,4,9
6824,18:15,8BLTE,16.875,1.819,0.571,0.085,12.146,1.403,1.344,1.071,5,4,9
19264,16:45,7VLTE,2.021,4.042,0.499,0.047,15.611,0.446,1.223,0.01,4,3,7
36465,15:00,6CLTE,6.467,0.707,0.152,0.024,10.318,0.639,1.071,0.01,4,2,6
9748,23:15,9ALTE,1.819,0.606,0.224,0.044,13.192,1.111,1.021,1.011,2,2,4
16519,8:15,6CLTE,3.1757,0.7012,0.2923,0.0311,16.1771,0.4486,1.057,0.0105,3,3,6
21393,23:00,6CLTE,6.669,0.909,0.259,0.027,8.488,0.366,1.091,0.01,4,3,7
30546,13:15,2ALTE,0.404,0.404,0.007,0.006,0.059,0.087,1.011,0.01,1,1,2
10289,6:30,2ALTE,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6983,16:45,7ULTE,3.032,6.871,1.033,0.093,21.884,0.969,1.566,0.01,7,5,12
11374,15:45,9ALTE,4.648,0.808,0.161,0.053,7.607,3.895,1.071,1.021,3,2,5
15719,20:15,8ALTE,18.189,2.122,0.425,0.058,25.189,0.75,1.243,1.091,5,5,10
13747,1:45,7VLTE,0.1025,0.8288,0.031,0.0118,0.6918,0.1329,1.0094,0.0107,2,2,4
27585,8:45,10BLTE,7.478,1.112,0.482,0.045,16.188,0.563,1.162,1.061,4,3,7
7611,19:30,7BLTE,0.303,1.112,0.292,0.035,14.646,0.52,1.283,0.01,5,3,8
33979,12:45,3CLTE,12.934,2.223,0.68,0.061,25.859,3.613,1.172,1.051,5,4,9
13360,2:15,1CLTE,12.631,0.808,0.1,0.042,4.2,3.064,1.101,1.021,4,2,6
13244,2:00,3CLTE,2.829,0.707,0.197,0.021,14.439,0.44,1.061,1.021,3,2,5
5547,10:45,8CLTE,3.2544,0.6306,0.0975,0.0221,3.5738,0.2406,1.0621,1.0486,3,2,5
18780,23:15,8CLTE,2.122,0.505,0.2,0.025,8.72,0.458,1.031,1.011,2,2,4
34306,8:15,6BLTE,13.035,10.913,6.399,0.623,78.447,45.603,1.253,0.01,5,4,9
30788,10:00,7VLTE,0.62,1.21,0.1288,0.032,5.0392,0.6673,1.1145,0.0104,4,4,8
21383,11:30,7ULTE,3.941,4.951,0.813,0.14,23.86,11.521,1.445,0.01,7,4,11
14307,18:00,6VLTE,1.617,2.93,0.386,0.039,17.067,1.518,1.192,0.01,5,4,9
11047,18:45,1BLTE,21.119,2.122,0.777,0.08,44.216,2.49,1.283,1.061,5,3,8
9168,19:45,9BLTE,2.728,2.324,3.466,0.064,34.487,0.845,1.061,1.021,3,2,5
32371,4:00,10BLTE,0.909,0.404,0.09,0.022,2.183,0.228,1.061,1.011,2,2,4
16188,21:15,10ALTE,8.185,1.617,0.478,0.03,26.789,1.099,1.112,1.031,4,3,7
1189,22:45,10CLTE,7.0204,2.6746,0.6626,0.0493,28.4443,1.1311,1.0839,1.0272,3,4,7
18329,21:00,5ALTE,5.457,1.112,0.228,0.023,14.144,0.324,1.051,1.021,4,2,6
27046,3:00,7VLTE,0.101,0.808,0.007,0.004,0.447,0.104,0.97,0.01,3,2,5
19510,0:45,9BLTE,2.8827,0.6976,0.2203,0.0181,18.0125,0.2216,1.0297,1.0112,4,2,6
6166,20:30,4ALTE,9.903,1.314,0.31,0.051,28.133,2.343,1.172,1.041,4,3,7
13031,7:00,6ALTE,1.516,0.505,0.094,0.014,2.42,0.191,1.031,0.01,3,2,5
12602,1:45,10BLTE,1.516,0.505,0.158,0.023,4.752,0.402,1.021,1.011,2,2,4
28574,20:45,4ALTE,12.934,2.627,0.904,0.087,30.318,1.055,1.263,1.061,6,4,10
10025,8:00,4BLTE,8.7495,1.0169,0.3358,0.0231,24.8261,0.7029,1.2011,1.061,4,3,7
9172,19:30,5CLTE,10.7226,0.7042,0.0742,0.1327,3.47,11.1984,1.2009,1.0917,5,4,9
6133,15:30,8CLTE,7.1858,0.5977,0.1039,0.0269,21.4657,2.9898,1.1024,1.0416,4,4,8
32590,17:45,7BLTE,0.404,1.718,0.661,0.052,30.113,1.388,1.293,0.01,5,2,7
7083,14:45,8CLTE,9.297,2.324,0.899,0.064,29.493,0.68,1.132,1.031,4,3,7
22555,4:15,2ALTE,0.0,0.4025,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
8212,8:15,6VLTE,1.112,1.415,0.13,0.023,5.611,0.373,1.011,0.01,3,2,5
2300,20:45,5BLTE,14.8957,4.2095,0.56,0.072,17.0893,0.3691,1.3396,1.1509,6,5,11
20302,0:45,4BLTE,11.823,2.122,0.907,0.045,24.643,0.655,1.172,1.051,5,4,9
31778,13:45,7ULTE,6.467,7.478,1.121,0.174,24.76,3.437,1.718,0.01,8,5,13
32301,5:15,6WLTE,0.101,0.808,0.019,0.011,0.146,0.095,1.031,0.01,3,2,5
6618,22:15,8CLTE,5.356,1.011,0.556,0.089,19.137,2.114,1.152,1.031,4,3,7
35241,5:00,4ALTE,1.011,0.404,0.017,0.007,1.098,0.152,1.021,1.011,2,2,4
18768,4:30,2ALTE,0.0,0.404,0.002,0.003,0.002,0.003,1.011,0.01,1,1,2
28498,20:00,7ULTE,2.021,3.739,0.52,0.082,18.474,2.866,1.384,0.01,6,3,9
14690,1:00,4ALTE,4.042,1.92,1.116,0.043,50.416,1.567,1.051,1.011,3,2,5
864,15:30,1CLTE,26.1651,6.0603,1.3468,0.122,27.4222,1.4252,1.4412,1.4268,7,7,14
17447,20:00,2ALTE,0.202,0.404,0.022,0.01,0.406,0.093,1.011,0.01,2,1,3
26887,12:00,8BLTE,19.503,3.84,0.966,0.109,22.821,2.694,1.435,1.152,6,5,11
35990,9:30,5BLTE,21.726,2.425,0.465,0.066,15.168,0.527,1.314,1.202,6,5,11
17559,15:15,4CLTE,18.593,2.728,0.556,0.067,16.614,0.76,1.324,1.202,6,5,11
6752,15:30,4ALTE,10.307,2.122,0.607,0.058,31.537,1.49,1.162,1.061,4,3,7
28779,22:45,7BLTE,0.303,0.808,0.22,0.034,21.751,0.73,1.283,0.01,6,3,9
16880,3:30,6ALTE,5.2835,0.7109,0.2268,0.0361,23.3195,0.7931,1.0807,0.0107,3,2,5
18967,4:45,10ALTE,1.9649,0.4263,0.0737,0.0096,5.3419,0.2911,1.0709,1.057,3,2,5
23582,6:30,1ALTE,2.627,0.606,0.175,0.025,5.962,0.373,1.031,1.011,3,2,5
8621,23:45,1BLTE,16.269,1.819,0.679,0.077,23.006,1.247,1.213,1.071,5,4,9
35202,15:30,3BLTE,13.7017,1.5049,0.4433,0.0652,50.188,1.2422,1.2005,1.1132,5,4,9
28114,0:00,10ALTE,17.1765,2.2606,0.7437,0.0748,22.7468,1.1125,1.2635,1.1625,6,5,11
15419,16:45,5ALTE,9.196,1.011,0.251,0.027,14.412,0.448,1.101,1.041,4,3,7
13960,21:15,3ALTE,8.791,1.112,0.151,0.031,6.655,1.156,1.142,1.091,4,4,8
18362,2:15,8CLTE,0.505,0.606,0.385,0.025,7.848,0.445,1.011,1.011,1,1,2
14432,2:45,3ALTE,2.627,0.505,0.086,0.024,3.367,0.883,1.031,1.011,2,2,4
1103,4:15,2ALTE,0.404,0.404,0.005,0.003,0.054,0.053,1.011,0.01,1,1,2
134,19:00,3ALTE,16.168,1.718,0.401,0.065,10.749,0.696,1.526,1.101,7,5,12
7635,2:30,6ALTE,2.5457,1.0477,0.3026,0.0206,14.881,0.3959,1.0587,0.0103,4,2,6
36018,7:30,8ALTE,6.77,0.909,0.248,0.03,5.025,0.302,1.081,1.031,3,3,6
24770,11:00,7ULTE,2.4458,2.7536,0.4808,0.0533,7.8255,0.5347,1.2477,0.0107,5,4,9
22936,6:15,9BLTE,0.606,0.404,0.028,0.01,0.367,0.125,1.031,1.011,2,2,4
11962,9:15,1CLTE,19.705,1.112,0.19,0.046,8.811,0.449,1.192,1.132,6,5,11
1401,3:15,1CLTE,16.673,1.112,0.244,0.034,4.603,0.251,1.142,1.041,4,4,8
15753,2:30,3BLTE,6.265,0.606,0.126,0.015,1.946,0.197,1.031,1.021,3,2,5
7075,10:30,7BLTE,0.808,1.718,0.437,0.057,11.192,1.207,1.374,0.01,6,3,9
8763,11:45,7ULTE,3.638,5.962,1.004,0.124,24.193,1.224,1.789,0.01,10,5,15
4025,23:30,6VLTE,2.829,3.537,0.404,0.057,20.231,1.673,1.293,0.01,5,4,9
2752,5:30,5ALTE,0.404,0.404,0.016,0.009,0.2,0.124,1.021,1.011,2,1,3
15508,11:30,1CLTE,25.06,5.962,1.168,0.127,47.12,1.248,1.506,1.344,7,6,13
32992,14:00,7VLTE,1.516,3.638,0.636,0.046,43.151,1.484,1.273,0.01,5,3,8
25881,15:45,3CLTE,12.429,2.627,0.943,0.054,35.392,0.585,1.182,1.091,4,4,8
3536,14:45,9ALTE,13.035,1.314,0.339,0.053,9.543,0.666,1.233,1.061,5,3,8
16329,13:30,6WLTE,1.718,3.739,0.472,0.054,19.741,0.574,1.364,0.01,5,3,8
13917,1:45,8ALTE,11.142,3.3691,0.777,0.0552,35.2877,0.6087,1.2151,1.0925,5,4,9
35273,1:30,5ALTE,2.728,0.707,0.24,0.022,9.829,0.212,1.061,1.021,3,2,5
10937,5:00,6ALTE,1.718,0.404,0.024,0.01,0.6,0.164,1.021,0.01,3,2,5
15569,6:30,9BLTE,0.5091,0.4042,0.0235,0.0092,0.3127,0.1923,1.0439,1.0512,1,2,3
10940,18:30,7BLTE,0.4018,1.1069,0.2714,0.0575,7.6289,2.9392,1.2377,0.0102,6,2,8
29028,9:00,4ALTE,4.749,1.112,0.384,0.082,21.037,17.151,1.122,1.031,4,3,7
28770,22:30,7BLTE,0.404,1.718,0.639,0.049,41.45,0.783,1.293,0.01,5,3,8
3196,11:15,9BLTE,3.032,0.505,0.129,0.02,4.327,0.453,1.041,1.021,2,2,4
34207,2:15,6CLTE,1.92,0.505,0.174,0.019,9.153,0.402,1.031,0.01,2,2,4
22406,21:15,3BLTE,11.419,1.617,0.664,0.074,67.233,2.864,1.202,1.071,6,4,10
17878,13:45,3ALTE,17.1443,3.7431,1.154,0.102,15.2063,1.1805,1.3546,1.198,7,4,11
456,4:15,1BLTE,3.638,0.909,0.276,0.023,13.501,0.375,1.021,1.011,2,2,4
6397,21:15,6ULTE,1.1658,2.108,0.32,0.0416,6.781,0.5579,1.24,0.0101,5,4,9
6460,6:30,3BLTE,2.223,0.505,0.059,0.012,3.286,0.276,1.021,1.011,2,2,4
31318,13:00,7VLTE,1.0616,1.5687,0.1096,0.03,7.6375,2.2837,1.1221,0.0106,4,4,8
1991,1:15,6VLTE,1.314,2.021,0.266,0.032,10.966,0.501,1.172,0.01,5,3,8
29015,22:30,5BLTE,9.398,1.617,0.61,0.025,45.808,0.427,1.091,1.071,4,3,7
8572,2:45,7CLTE,0.0,0.404,0.025,0.011,0.374,0.19,1.011,0.01,2,1,3
9771,13:15,4CLTE,14.349,3.133,0.471,0.059,8.383,0.533,1.304,1.172,5,4,9
18480,22:00,1ALTE,17.583,2.425,1.052,0.076,35.693,1.274,1.253,1.081,5,4,9
25540,3:00,8CLTE,0.909,0.909,0.827,0.027,16.23,0.266,1.021,1.011,2,2,4
26356,6:45,2ALTE,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
29313,13:00,6ALTE,18.694,1.516,0.421,0.057,21.582,0.878,1.233,0.01,6,3,9
3028,14:45,10CLTE,12.4674,0.993,0.1885,0.039,8.5515,2.308,1.058,1.0763,4,3,7
6028,1:15,3BLTE,7.579,1.617,0.454,0.039,58.363,1.038,1.182,1.031,4,3,7
18133,10:30,6BLTE,15.461,1.415,0.329,0.046,7.101,0.679,1.182,0.01,5,4,9
5873,18:15,7ALTE,0.404,1.415,0.373,0.042,11.457,0.541,1.192,0.01,4,3,7
23173,15:45,7ULTE,2.425,6.063,0.788,0.081,26.538,0.824,1.455,0.01,8,5,13
26550,4:30,8ALTE,5.8389,1.2088,0.4187,0.0342,19.5618,0.4434,1.0778,1.0736,4,2,6
35240,6:30,6WLTE,9.196,0.909,0.008,0.12,0.55,0.301,1.011,0.01,3,3,6
6977,4:00,3BLTE,2.7171,0.7019,0.1337,0.021,54.5281,0.3636,1.0662,1.0572,5,2,7
34993,14:45,7ALTE,0.2021,1.0069,0.2848,0.026,18.5112,0.3493,1.1598,0.0106,5,2,7
13059,11:15,9BLTE,6.164,1.011,0.532,0.031,8.736,0.593,1.192,1.041,4,3,7
14195,17:30,3BLTE,15.6339,2.6211,0.5875,0.0686,21.1027,0.7027,1.2096,1.0599,6,3,9
33338,12:30,10ALTE,24.252,1.92,0.64,0.116,32.486,1.809,1.496,1.172,7,5,12
715,23:00,3BLTE,7.781,0.808,0.066,0.019,1.745,0.297,1.081,1.031,4,2,6
662,11:00,7WLTE,2.526,4.042,0.766,0.067,20.734,0.835,1.213,0.01,5,4,9
28458,4:15,7BLTE,0.101,0.909,1.049,0.036,34.157,0.886,1.061,0.01,2,2,4
22586,14:45,7CLTE,0.505,1.213,0.361,0.038,26.661,1.215,1.243,0.01,6,2,8
26204,21:00,8CLTE,3.4957,0.703,0.1444,0.0204,10.5668,0.5474,1.0248,1.0132,3,3,6
9255,20:30,5CLTE,12.732,1.617,0.223,0.038,9.899,0.916,1.192,1.041,5,4,9
13267,13:30,5ALTE,12.227,1.92,0.555,0.038,19.465,0.422,1.172,1.061,5,3,8
21893,14:15,3BLTE,25.364,4.446,0.797,0.109,37.572,0.621,1.758,1.627,7,7,14
36629,13:45,3CLTE,8.6926,1.1675,0.4116,0.0501,34.8016,0.6534,1.345,1.0433,6,3,9
20975,18:00,1CLTE,26.071,2.728,0.689,0.108,28.23,3.142,1.435,1.415,7,8,15
8290,10:00,7CLTE,0.505,1.011,0.302,0.034,17.616,0.698,1.172,0.01,4,3,7
26837,14:00,7ALTE,0.404,1.314,0.419,0.038,37.712,0.719,1.192,0.01,5,3,8
25743,16:15,3ALTE,23.646,3.234,0.816,0.089,16.885,2.051,1.394,1.192,7,4,11
18933,10:45,5BLTE,8.0221,1.7473,0.5063,0.0278,17.5085,1.5712,1.1329,1.0821,4,3,7
20307,0:30,10CLTE,5.861,0.808,0.206,0.022,15.489,0.206,1.051,1.021,3,3,6
33503,1:45,7WLTE,0.404,1.718,0.561,0.037,9.993,1.031,0.96,0.01,3,2,5
28074,14:45,8CLTE,10.61,2.223,0.619,0.054,46.46,1.646,1.122,1.031,4,3,7
15599,15:30,7ALTE,0.2086,0.7226,0.1647,0.0451,11.3157,3.8032,1.0787,0.0105,4,2,6
30973,8:00,6VLTE,1.0535,2.1391,0.2855,0.0285,9.4591,0.4735,1.0635,0.0103,4,3,7
10206,23:45,9BLTE,9.3063,1.1393,0.2782,0.0453,5.7665,0.2733,1.2437,1.1095,6,3,9
35786,19:45,6CLTE,8.286,0.707,0.169,0.022,3.833,0.328,1.081,0.01,4,2,6
32061,19:00,6VLTE,11.116,2.93,0.344,0.662,13.842,3.964,1.384,0.01,6,4,10
11285,22:30,9BLTE,1.718,0.404,0.032,0.009,2.051,0.136,1.021,1.021,2,2,4
31576,14:15,6ALTE,18.391,2.122,0.781,0.086,32.184,2.058,1.273,0.01,5,4,9
3382,15:30,7WLTE,2.55,4.9589,0.4387,0.044,17.111,0.6457,1.108,0.0104,4,5,9
3986,19:15,7ULTE,2.93,4.85,0.719,0.11,25.933,2.615,1.667,0.01,8,4,12
34003,6:30,4BLTE,9.903,0.707,0.12,0.015,6.168,0.365,1.162,1.011,4,2,6
29649,21:45,10BLTE,2.484,0.596,0.0516,0.0303,2.4803,0.1422,1.0398,1.0179,3,3,6
30045,8:15,8ALTE,15.865,4.648,1.502,0.124,63.568,6.795,1.253,1.112,6,5,11
31112,11:45,6CLTE,4.2632,0.599,0.043,0.0302,0.828,0.4744,1.0364,0.0103,5,2,7
3459,1:00,8ALTE,7.781,2.122,0.736,0.029,38.511,0.738,1.071,1.021,3,3,6
31323,14:30,9ALTE,18.391,2.728,0.902,0.095,15.959,1.281,1.364,1.202,6,5,11
136,10:00,6ALTE,14.955,2.223,0.884,0.097,45.89,4.434,1.263,0.01,6,4,10
5341,6:00,3ALTE,1.92,0.505,0.07,0.014,4.179,0.251,1.021,1.011,2,2,4
19399,23:00,10ALTE,15.36,4.446,1.002,0.08,27.254,0.597,1.293,1.162,5,5,10
23754,5:45,4BLTE,5.558,2.728,1.389,0.034,23.826,0.359,1.081,1.041,3,3,6
8976,10:45,7ALTE,0.404,1.314,0.298,0.042,6.762,0.487,1.293,0.01,6,3,9
8844,5:00,6ALTE,2.122,1.516,0.561,0.016,14.419,0.398,1.031,0.01,3,2,5
1824,13:15,6ULTE,0.0,0.0,0.655,0.093,12.473,3.546,1.637,0.01,7,4,11
1494,23:15,4CLTE,14.147,1.819,0.453,0.05,15.256,1.566,1.202,1.081,5,4,9
15237,18:45,6BLTE,24.656,4.042,1.388,0.202,31.922,3.886,1.243,0.01,5,4,9
3037,7:15,3ALTE,3.3425,0.9997,0.3905,0.026,23.8185,0.5874,1.1305,1.0725,4,2,6
27809,10:45,1CLTE,28.294,4.951,1.253,0.154,48.199,1.546,1.688,1.354,7,6,13
11177,18:00,9ALTE,3.436,1.112,0.302,0.045,14.725,2.213,1.051,1.021,3,2,5
35340,21:00,1ALTE,12.53,3.436,1.112,0.095,20.25,7.179,1.283,1.101,6,4,10
26336,9:45,7BLTE,0.1994,0.9007,0.3096,0.0333,28.8953,1.0368,1.167,0.0104,5,2,7
32872,16:45,7BLTE,0.808,2.728,0.975,0.103,22.037,1.098,1.637,0.01,7,4,11
35629,7:15,7WLTE,0.1052,0.8516,0.0149,0.0063,0.1486,0.0761,0.9991,0.0104,2,2,4
6211,9:00,7VLTE,0.3048,1.0208,0.1164,0.028,2.5026,0.2315,0.9967,0.0101,2,2,4
28333,19:45,2ALTE,0.202,0.404,0.007,0.007,0.039,0.041,1.011,0.01,1,1,2
11665,0:15,10CLTE,4.85,1.314,0.714,0.042,19.904,1.484,1.142,1.041,4,3,7
11379,2:15,6BLTE,10.1189,8.8622,5.8807,0.6399,83.4861,47.8757,1.1264,0.0101,4,3,7
26972,4:30,1ALTE,1.327,0.5234,0.1376,0.0192,11.6904,0.2385,1.0343,1.0168,3,1,4
24915,3:15,7ALTE,0.101,0.606,0.281,0.028,6.668,1.157,1.031,0.01,2,1,3
11556,8:30,2ALTE,0.0,0.4169,0.001,0.0021,0.0011,0.0021,1.0428,0.0106,1,2,3
28868,22:45,7WLTE,0.6237,1.4546,0.3933,0.0493,24.0057,1.1683,1.1922,0.0103,5,3,8
20394,6:15,6VLTE,0.505,1.314,0.724,0.013,23.823,0.563,1.021,0.01,2,2,4
29391,18:30,7VLTE,1.3412,4.783,0.8749,0.0554,14.6068,2.3983,1.1887,0.01,4,4,8
24347,1:00,7BLTE,0.101,0.505,0.045,0.015,4.168,0.268,1.031,0.01,4,2,6
32452,7:00,8BLTE,3.638,0.808,0.414,0.032,46.295,0.926,1.061,1.011,3,2,5
6854,14:30,7VLTE,2.223,5.558,0.746,0.101,22.934,1.18,1.667,0.01,7,4,11
23054,16:00,10CLTE,8.387,1.516,0.742,0.049,26.37,1.44,1.122,1.051,4,3,7
16355,8:00,6ALTE,6.77,1.112,0.513,0.037,18.553,3.696,1.101,0.01,3,2,5
19010,20:45,4CLTE,12.4889,1.5073,0.2906,0.042,14.335,0.4492,1.1944,1.0548,5,3,8
6305,0:00,10CLTE,8.185,1.415,0.482,0.084,29.017,6.917,1.182,1.031,4,3,7
11639,1:45,6CLTE,2.1335,0.5121,0.0668,0.0152,4.2252,0.3688,1.0282,0.0102,4,3,7
13342,8:30,4BLTE,8.2814,1.0434,0.1826,0.0189,17.9337,0.4085,1.1367,1.0356,5,3,8
10494,4:15,4BLTE,3.133,0.404,0.009,0.004,0.888,0.107,1.021,1.011,2,2,4
1604,2:30,5CLTE,2.829,0.404,0.016,0.004,1.38,0.12,1.021,1.011,3,1,4
36085,7:30,10CLTE,3.941,3.133,0.515,0.022,7.748,0.341,1.031,1.011,3,2,5
3990,1:00,6WLTE,0.8231,16.3803,1.3979,0.0474,16.2588,0.7788,1.1029,0.0104,5,3,8
19857,18:15,1BLTE,22.938,8.387,3.012,0.175,48.286,2.104,1.576,1.172,8,5,13
22942,1:15,7CLTE,0.0,0.404,0.017,0.006,0.116,0.028,1.021,0.01,2,1,3
24787,18:15,1ALTE,18.795,1.819,0.345,0.211,28.876,1.167,1.465,1.213,6,6,12
13334,0:45,5CLTE,5.5704,0.6277,0.0748,0.0147,4.1755,0.2761,1.134,1.0117,4,3,7
23774,18:15,6CLTE,10.61,1.112,0.345,0.046,20.257,1.056,1.122,0.01,4,4,8
21197,0:45,7VLTE,0.909,4.345,0.674,0.055,16.62,0.794,1.233,0.01,5,2,7
18318,5:00,6ALTE,2.93,0.505,0.072,0.017,2.25,0.282,1.031,0.01,3,2,5
8267,3:15,9ALTE,1.4703,1.271,0.7853,0.0356,25.1578,0.5241,1.0899,1.0095,2,2,4
1214,1:30,7ALTE,0.101,0.505,0.115,0.033,11.683,0.774,1.021,0.01,2,2,4
1293,1:30,4BLTE,11.823,0.808,0.132,0.013,8.093,0.486,1.101,1.021,4,2,6
32594,23:15,7ULTE,0.7286,1.0081,0.0545,0.0173,2.3466,0.2413,1.0447,0.0101,3,3,6
11764,7:45,10BLTE,1.112,0.505,0.134,0.011,4.241,0.116,1.031,1.011,2,2,4
18708,3:00,6VLTE,0.909,1.516,0.151,0.027,6.0,0.587,1.152,0.01,5,3,8
21214,15:30,5CLTE,22.433,7.074,1.835,0.107,35.528,1.757,1.455,1.152,6,5,11
30529,6:30,6CLTE,2.829,0.808,0.631,0.021,69.176,0.483,1.031,0.01,3,2,5
26165,16:15,3ALTE,12.7255,3.5471,1.3838,0.0691,53.5446,0.8976,1.2222,1.1681,5,4,9
3473,12:15,2ALTE,1.516,0.505,0.058,0.009,1.793,0.547,1.011,0.01,2,1,3
10964,15:15,4ALTE,3.941,0.808,0.134,0.025,7.134,0.48,1.081,1.041,3,3,6
1912,23:15,4ALTE,4.7935,0.7467,0.1594,0.0192,5.9522,0.2503,1.0525,1.0369,3,3,6
34067,10:00,5ALTE,3.5214,1.0546,0.2983,0.0252,8.5926,0.7658,1.1006,1.0593,3,3,6
36774,6:15,4BLTE,3.84,0.505,0.049,0.008,1.085,0.189,1.031,1.011,3,2,5
25867,19:30,1CLTE,24.6581,2.9217,0.649,0.1238,36.027,3.3231,1.5127,1.4303,7,7,14
28331,1:30,8BLTE,3.234,0.606,0.065,0.019,3.029,0.503,1.051,1.011,3,2,5
32007,17:30,5ALTE,9.398,4.446,1.149,0.06,32.654,1.72,1.172,1.142,5,4,9
30278,3:15,1ALTE,4.547,0.505,0.015,0.013,0.67,0.155,1.031,1.011,2,2,4
26865,5:30,1ALTE,1.213,0.404,0.04,0.014,1.711,0.387,1.031,1.011,2,2,4
15165,5:00,7VLTE,0.6267,0.9602,0.0116,0.0052,0.704,0.0923,1.0641,0.0103,3,2,5
31625,6:15,4BLTE,9.6472,0.4995,0.0275,0.0103,2.476,0.704,1.1348,1.0646,3,2,5
17680,19:30,1ALTE,21.524,3.638,1.024,0.164,39.559,9.088,1.576,1.223,8,5,13
21684,12:30,10CLTE,8.084,0.909,0.107,0.029,2.59,0.27,1.101,1.101,3,3,6
36078,9:30,1CLTE,17.381,2.122,0.425,0.06,25.565,0.855,1.273,1.152,6,4,10
12552,21:30,5ALTE,4.244,0.707,0.147,0.023,6.607,0.277,1.071,1.021,3,2,5
35462,3:30,1ALTE,2.627,0.505,0.112,0.021,4.154,0.257,1.031,1.011,2,2,4
5880,3:30,6BLTE,4.951,0.505,0.025,0.011,1.615,0.203,1.031,0.01,3,2,5
18294,5:15,5CLTE,3.436,0.404,0.013,0.009,0.612,0.266,1.021,1.011,3,2,5
21979,0:45,9BLTE,4.0227,0.6391,0.1246,0.0268,2.5409,0.3475,1.1163,1.0181,3,3,6
9210,0:15,8ALTE,15.663,1.819,0.415,0.069,13.731,1.025,1.304,1.081,6,4,10
24000,23:15,9BLTE,5.4106,0.9226,0.4285,0.0318,14.2711,0.4703,1.158,1.0731,3,3,6
3067,17:45,7BLTE,0.404,1.213,0.321,0.05,8.519,0.944,1.283,0.01,5,3,8
20022,20:45,6CLTE,6.568,0.707,0.124,0.03,4.971,1.713,1.132,0.01,4,3,7
9029,4:00,4BLTE,3.436,0.505,0.022,0.009,4.082,0.666,1.031,1.011,2,2,4
18511,3:30,8CLTE,0.404,0.404,0.018,0.013,0.138,0.124,1.011,1.011,1,1,2
7078,2:00,6VLTE,2.122,7.276,1.324,0.082,19.857,0.853,1.223,0.01,4,4,8
33502,18:45,4BLTE,19.0579,2.4632,0.5033,0.0933,17.9341,5.2441,1.4585,1.2025,8,5,13
18285,16:45,5ALTE,8.185,0.909,0.162,0.03,6.587,0.39,1.122,1.031,4,2,6
1199,21:30,6ULTE,1.314,1.92,0.364,0.03,16.892,1.189,1.172,0.01,4,3,7
31252,1:45,1BLTE,5.457,1.415,0.366,0.017,18.935,0.321,1.071,1.021,4,2,6
12788,3:15,1BLTE,1.92,0.404,0.03,0.015,1.989,0.652,1.021,1.011,2,2,4
10711,14:00,6ALTE,23.14,3.032,0.85,0.118,30.671,1.136,1.465,0.01,7,4,11
36262,20:15,7BLTE,0.303,1.213,0.279,0.035,24.089,1.504,1.273,0.01,5,3,8
32631,21:30,7ULTE,0.7318,2.1847,0.2065,0.0322,8.2326,0.4875,1.1162,0.0107,4,4,8
21768,5:15,1ALTE,2.425,0.606,0.188,0.027,5.391,0.581,1.041,1.011,3,2,5
4910,18:45,2ALTE,0.303,0.404,0.024,0.015,0.223,0.085,1.011,0.01,1,1,2
12875,2:30,6ULTE,0.303,0.909,0.104,0.013,6.523,0.516,1.031,0.01,3,2,5
